날짜,종가
2016- 03- 06,"8,250"
2016- 03- 07,"8,230"
2016- 03- 08,"8,295"
2016- 03- 09,"8,260"
2016- 03- 10,"8,200"
2016- 03- 11,"8,175"
2016- 03- 13,"8,175"
2016- 03- 14,"8,175"
2016- 03- 15,"8,185"
2016- 03- 16,"8,160"
2016- 03- 17,"8,125"
2016- 03- 18,"8,110"
2016- 03- 20,"8,110"
2016- 03- 21,"8,115"
2016- 03- 22,"8,085"
2016- 03- 23,"8,090"
2016- 03- 24,"8,105"
2016- 03- 25,"8,115"
2016- 03- 27,"8,115"
2016- 03- 28,"8,105"
2016- 03- 29,"8,065"
2016- 03- 30,"8,030"
2016- 03- 31,"8,075"
2016- 04- 01,"8,170"
2016- 04- 03,"8,170"
2016- 04- 04,"8,155"
2016- 04- 05,"8,220"
2016- 04- 06,"8,185"
2016- 04- 07,"8,185"
2016- 04- 08,"8,200"
2016- 04- 10,"8,200"
2016- 04- 11,"8,190"
2016- 04- 12,"8,135"
2016- 04- 13,"8,135"
2016- 04- 14,"8,015"
2016- 04- 15,"7,995"
2016- 04- 17,"7,995"
2016- 04- 18,"8,015"
2016- 04- 19,"8,000"
2016- 04- 20,"8,030"
2016- 04- 21,"7,965"
2016- 04- 22,"7,995"
2016- 04- 24,"7,995"
2016- 04- 25,"8,010"
2016- 04- 26,"7,975"
2016- 04- 27,"7,980"
2016- 04- 28,"8,060"
2016- 04- 29,"8,095"
2016- 05- 01,"8,095"
2016- 05- 02,"8,140"
2016- 05- 03,"8,120"
2016- 05- 04,"8,170"
2016- 05- 08,"8,170"
2016- 05- 09,"8,180"
2016- 05- 10,"8,145"
2016- 05- 11,"8,160"
2016- 05- 12,"8,175"
2016- 05- 13,"8,240"
2016- 05- 16,"8,235"
2016- 05- 17,"8,235"
2016- 05- 18,"8,295"
2016- 05- 19,"8,310"
2016- 05- 20,"8,305"
2016- 05- 23,"8,285"
2016- 05- 24,"8,345"
2016- 05- 25,"8,230"
2016- 05- 26,"8,235"
2016- 05- 27,"8,205"
2016- 05- 29,"8,205"
2016- 05- 30,"8,220"
2016- 05- 31,"8,160"
2016- 06- 01,"8,155"
2016- 06- 02,"8,140"
2016- 06- 03,"8,130"
2016- 06- 07,"8,035"
2016- 06- 08,"7,995"
2016- 06- 09,"8,015"
2016- 06- 10,"8,010"
2016- 06- 12,"8,010"
2016- 06- 13,"8,145"
2016- 06- 14,"8,160"
2016- 06- 15,"8,170"
2016- 06- 16,"8,230"
2016- 06- 17,"8,205"
2016- 06- 19,"8,205"
2016- 06- 20,"8,095"
2016- 06- 21,"8,095"
2016- 06- 22,"8,050"
2016- 06- 23,"8,050"
2016- 06- 24,"8,305"
2016- 06- 26,"8,305"
2016- 06- 27,"8,285"
2016- 06- 28,"8,250"
2016- 06- 29,"8,170"
2016- 06- 30,"8,145"
2016- 07- 01,"8,050"
2016- 07- 03,"8,050"
2016- 07- 04,"8,025"
2016- 07- 05,"8,045"
2016- 07- 06,"8,195"
2016- 07- 07,"8,105"
2016- 07- 08,"8,145"
2016- 07- 10,"8,145"
2016- 07- 11,"8,035"
2016- 07- 12,"8,045"
2016- 07- 13,"8,000"
2016- 07- 14,"7,985"
2016- 07- 15,"7,950"
2016- 07- 17,"7,950"
2016- 07- 18,"7,925"
2016- 07- 19,"7,940"
2016- 07- 20,"7,945"
2016- 07- 21,"7,935"
2016- 07- 22,"7,940"
2016- 07- 24,"7,940"
2016- 07- 25,"7,940"
2016- 07- 26,"7,865"
2016- 07- 27,"7,870"
2016- 07- 28,"7,890"
2016- 07- 29,"7,895"
2016- 07- 31,"7,895"
2016- 08- 01,"7,835"
2016- 08- 02,"7,890"
2016- 08- 03,"7,975"
2016- 08- 04,"7,965"
2016- 08- 05,"7,885"
2016- 08- 07,"7,885"
2016- 08- 08,"7,835"
2016- 08- 09,"7,780"
2016- 08- 10,"7,800"
2016- 08- 11,"7,790"
2016- 08- 12,"7,770"
2016- 08- 15,"7,770"
2016- 08- 16,"7,765"
2016- 08- 17,"7,785"
2016- 08- 18,"7,725"
2016- 08- 19,"7,700"
2016- 08- 21,"7,700"
2016- 08- 22,"7,745"
2016- 08- 23,"7,710"
2016- 08- 24,"7,745"
2016- 08- 25,"7,730"
2016- 08- 26,"7,750"
2016- 08- 29,"7,755"
2016- 08- 30,"7,725"
2016- 08- 31,"7,755"
2016- 09- 01,"7,770"
2016- 09- 02,"7,750"
2016- 09- 04,"7,750"
2016- 09- 05,"7,665"
2016- 09- 06,"7,635"
2016- 09- 07,"7,645"
2016- 09- 08,"7,640"
2016- 09- 09,"7,730"
2016- 09- 11,"7,730"
2016- 09- 12,"7,910"
2016- 09- 13,"7,885"
2016- 09- 18,"7,885"
2016- 09- 19,"7,810"
2016- 09- 20,"7,800"
2016- 09- 21,"7,750"
2016- 09- 22,"7,685"
2016- 09- 23,"7,690"
2016- 09- 25,"7,690"
2016- 09- 26,"7,720"
2016- 09- 27,"7,660"
2016- 09- 28,"7,690"
2016- 09- 29,"7,625"
2016- 09- 30,"7,715"
2016- 10- 03,"7,715"
2016- 10- 04,"7,665"
2016- 10- 05,"7,670"
2016- 10- 06,"7,630"
2016- 10- 07,"7,650"
2016- 10- 10,"7,635"
2016- 10- 11,"7,750"
2016- 10- 12,"7,750"
2016- 10- 13,"7,825"
2016- 10- 14,"7,780"
2016- 10- 16,"7,780"
2016- 10- 17,"7,770"
2016- 10- 18,"7,720"
2016- 10- 19,"7,710"
2016- 10- 20,"7,700"
2016- 10- 21,"7,740"
2016- 10- 23,"7,740"
2016- 10- 24,"7,685"
2016- 10- 25,"7,700"
2016- 10- 26,"7,790"
2016- 10- 27,"7,750"
2016- 10- 28,"7,745"
2016- 10- 30,"7,745"
2016- 10- 31,"7,770"
2016- 11- 01,"7,770"
2016- 11- 02,"7,870"
2016- 11- 03,"7,845"
2016- 11- 04,"7,870"
2016- 11- 06,"7,870"
2016- 11- 07,"7,795"
2016- 11- 08,"7,785"
2016- 11- 09,"7,935"
2016- 11- 10,"7,785"
2016- 11- 11,"7,855"
2016- 11- 13,"7,855"
2016- 11- 14,"7,915"
2016- 11- 15,"7,950"
2016- 11- 16,"7,920"
2016- 11- 17,"7,920"
2016- 11- 18,"7,920"
2016- 11- 21,"7,945"
2016- 11- 22,"7,850"
2016- 11- 23,"7,825"
2016- 11- 24,"7,860"
2016- 11- 25,"7,860"
2016- 11- 27,"7,860"
2016- 11- 28,"7,835"
2016- 11- 29,"7,840"
2016- 11- 30,"7,800"
2016- 12- 01,"7,800"
2016- 12- 02,"7,855"
2016- 12- 04,"7,855"
2016- 12- 05,"7,860"
2016- 12- 06,"7,770"
2016- 12- 07,"7,755"
2016- 12- 08,"7,635"
2016- 12- 09,"7,615"
2016- 12- 11,"7,615"
2016- 12- 12,"7,630"
2016- 12- 13,"7,610"
2016- 12- 14,"7,605"
2016- 12- 15,"7,600"
2016- 12- 16,"7,585"
2016- 12- 18,"7,585"
2016- 12- 19,"7,585"
2016- 12- 20,"7,570"
2016- 12- 21,"7,575"
2016- 12- 22,"7,585"
2016- 12- 23,"7,590"
2016- 12- 25,"7,590"
2016- 12- 26,"7,585"
2016- 12- 27,"7,580"
2016- 12- 28,"7,550"
2016- 12- 29,"7,540"
2017- 01- 01,"7,540"
2017- 01- 02,"7,525"
2017- 01- 03,"7,465"
2017- 01- 04,"7,460"
2017- 01- 05,"7,490"
2017- 01- 06,"7,455"
2017- 01- 08,"7,455"
2017- 01- 09,"7,440"
2017- 01- 10,"7,455"
2017- 01- 11,"7,305"
2017- 01- 12,"7,305"
2017- 01- 13,"7,310"
2017- 01- 15,"7,310"
2017- 01- 16,"7,350"
2017- 01- 17,"7,325"
2017- 01- 18,"7,330"
2017- 01- 19,"7,320"
2017- 01- 20,"7,335"
2017- 01- 22,"7,335"
2017- 01- 23,"7,340"
2017- 01- 24,"7,340"
2017- 01- 25,"7,315"
2017- 01- 26,"7,255"
2017- 01- 30,"7,255"
2017- 01- 31,"7,295"
2017- 02- 01,"7,270"
2017- 02- 02,"7,310"
2017- 02- 03,"7,295"
2017- 02- 05,"7,295"
2017- 02- 06,"7,280"
2017- 02- 07,"7,295"
2017- 02- 08,"7,330"
2017- 02- 09,"7,320"
2017- 02- 10,"7,305"
2017- 02- 12,"7,305"
2017- 02- 13,"7,305"
2017- 02- 14,"7,325"
2017- 02- 15,"7,300"
2017- 02- 16,"7,305"
2017- 02- 17,"7,305"
2017- 02- 20,"7,280"
2017- 02- 21,"7,215"
2017- 02- 22,"7,195"
2017- 02- 23,"7,195"
2017- 02- 24,"7,255"
2017- 02- 26,"7,255"
2017- 02- 27,"7,280"
2017- 02- 28,"7,275"
2017- 03- 01,"7,275"
2017- 03- 02,"7,210"
2017- 03- 03,"7,280"
2017- 03- 05,"7,280"
2017- 03- 06,"7,265"
2017- 03- 07,"7,225"
2017- 03- 08,"7,215"
2017- 03- 09,"7,235"
2017- 03- 10,"7,225"
2017- 03- 12,"7,225"
2017- 03- 13,"7,140"
2017- 03- 14,"7,080"
2017- 03- 15,"7,065"
2017- 03- 16,"7,015"
2017- 03- 17,"6,985"
2017- 03- 19,"6,985"
2017- 03- 20,"6,995"
2017- 03- 21,"6,935"
2017- 03- 22,"6,960"
2017- 03- 23,"6,960"
2017- 03- 24,"6,960"
2017- 03- 26,"6,960"
2017- 03- 27,"7,015"
2017- 03- 28,"6,990"
2017- 03- 29,"6,975"
2017- 03- 30,"6,975"
2017- 03- 31,"6,995"
2017- 04- 02,"6,995"
2017- 04- 03,"6,975"
2017- 04- 04,"6,990"
2017- 04- 05,"7,010"
2017- 04- 06,"7,040"
2017- 04- 07,"7,045"
2017- 04- 09,"7,045"
2017- 04- 10,"7,095"
2017- 04- 11,"7,120"
2017- 04- 12,"7,115"
2017- 04- 13,"7,045"
2017- 04- 14,"7,070"
2017- 04- 16,"7,070"
2017- 04- 17,"7,060"
2017- 04- 18,"7,070"
2017- 04- 19,"7,095"
2017- 04- 20,"7,075"
2017- 04- 21,"7,010"
2017- 04- 23,"7,010"
2017- 04- 24,"6,975"
2017- 04- 25,"6,900"
2017- 04- 26,"6,860"
2017- 04- 27,"6,840"
2017- 04- 28,"6,835"
2017- 05- 01,"6,835"
2017- 05- 02,"6,785"
2017- 05- 03,"6,785"
2017- 05- 04,"6,720"
2017- 05- 07,"6,720"
2017- 05- 08,"6,550"
2017- 05- 09,"6,550"
2017- 05- 10,"6,620"
2017- 05- 11,"6,550"
2017- 05- 12,"6,580"
2017- 05- 14,"6,580"
2017- 05- 15,"6,560"
2017- 05- 16,"6,555"
2017- 05- 17,"6,560"
2017- 05- 18,"6,575"
2017- 05- 19,"6,585"
2017- 05- 21,"6,585"
2017- 05- 22,"6,540"
2017- 05- 23,"6,515"
2017- 05- 24,"6,505"
2017- 05- 25,"6,430"
2017- 05- 26,"6,390"
2017- 05- 28,"6,390"
2017- 05- 29,"6,400"
2017- 05- 30,"6,440"
2017- 05- 31,"6,440"
2017- 06- 01,"6,455"
2017- 06- 02,"6,380"
