date,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11,stock12,stock13,stock14,stock15,stock16,stock17,stock18,stock19,stock20,stock21,stock22,stock23,stock24,stock25,stock26,stock27,stock28,stock29,stock30,stock31,stock32,stock33,stock34,stock35,stock36,stock37,stock38,stock39,stock40,stock41,stock42,stock43,stock44,stock45,stock46,stock47,stock48,stock49,stock50
2021-01-04,5930.0,660.0,51910.0,207940.0,35420.0,68270.0,6400.0,5380.0,35720.0,12330.0,28260.0,270.0,51900.0,5490.0,66570.0,36570.0,96770.0,17670.0,105560.0,34730.0,15760.0,3550.0,55550.0,32830.0,18260.0,9150.0,326030.0,90430.0,33780.0,251270.0,86790.0,11170.0,18880.0,810.0,10950.0,9540,10130.0,86280.0,316140.0,34220.0,24110.0,30200.0,352820.0,21240.0,32640.0,35250.0,161390.0,2790.0,139480.0,720.0
2021-07-01,5930.0,660.0,35720.0,35420.0,51910.0,207940.0,5380.0,6400.0,68270.0,270.0,5490.0,51900.0,12330.0,66570.0,96770.0,28260.0,105560.0,17670.0,55550.0,34730.0,36570.0,3550.0,32830.0,15760.0,90430.0,18260.0,86790.0,361610.0,9150.0,302440.0,251270.0,352820.0,33780.0,3670.0,10950.0,810,326030.0,9540.0,11170.0,18880.0,34220.0,316140.0,30200.0,10130.0,86280.0,24110.0,32640.0,161390.0,21240.0,35250.0
2022-01-03,5930.0,660.0,35420.0,207940.0,35720.0,5380.0,6400.0,51910.0,270.0,323410.0,68270.0,5490.0,12330.0,377300.0,105560.0,96770.0,66570.0,259960.0,28260.0,55550.0,34730.0,302440.0,51900.0,36570.0,9150.0,352820.0,15760.0,32830.0,86790.0,3550.0,17670.0,18260.0,361610.0,3670.0,33780.0,251270,90430.0,810.0,10950.0,10130.0,316140.0,34220.0,30200.0,326030.0,24110.0,11170.0,18880.0,9540.0,86280.0,32640.0
2022-07-01,5930.0,373220.0,660.0,207940.0,35420.0,5380.0,51910.0,6400.0,270.0,35720.0,68270.0,28260.0,5490.0,105560.0,55550.0,12330.0,96770.0,34730.0,66570.0,15760.0,323410.0,32830.0,3550.0,86790.0,17670.0,10950.0,33780.0,51900.0,259960.0,18260.0,30200.0,810.0,9150.0,10130.0,316140.0,3670,377300.0,90430.0,36570.0,302440.0,24110.0,86280.0,9540.0,11170.0,361610.0,251270.0,352820.0,326030.0,18880.0,34220.0
2023-01-02,5930.0,373220.0,207940.0,660.0,51910.0,6400.0,5380.0,35420.0,270.0,35720.0,5490.0,68270.0,28260.0,105560.0,12330.0,55550.0,3670.0,96770.0,66570.0,32830.0,34730.0,15760.0,33780.0,3550.0,86790.0,323410.0,51900.0,10130.0,17670.0,9150.0,36570.0,11200.0,10950.0,18260.0,810.0,30200,316140.0,259960.0,90430.0,24110.0,377300.0,352820.0,86280.0,11170.0,302440.0,326030.0,9540.0,251270.0,34220.0,361610.0
2023-07-03,5930.0,373220.0,660.0,207940.0,6400.0,51910.0,5380.0,270.0,5490.0,35420.0,3670.0,35720.0,68270.0,12330.0,66570.0,28260.0,105560.0,55550.0,96770.0,3550.0,32830.0,15760.0,86790.0,352820.0,323410.0,34020.0,33780.0,34730.0,810.0,9150.0,17670.0,10130.0,18260.0,11200.0,259960.0,316140,24110.0,9540.0,30200.0,10950.0,86280.0,51900.0,11170.0,377300.0,36570.0,326030.0,302440.0,90430.0,34220.0,251270.0
2024-01-02,5930.0,660.0,373220.0,207940.0,5380.0,5490.0,270.0,35420.0,51910.0,68270.0,6400.0,3670.0,35720.0,28260.0,12330.0,105560.0,55550.0,66570.0,11200.0,96770.0,450080.0,32830.0,3550.0,323410.0,34730.0,18260.0,86790.0,810.0,15760.0,33780.0,9150.0,329180.0,17670.0,47050.0,34020.0,352820,10130.0,316140.0,259960.0,24110.0,30200.0,90430.0,9540.0,326030.0,10950.0,86280.0,377300.0,11170.0,51900.0,36570.0
2024-07-01,5930.0,660.0,373220.0,5380.0,207940.0,270.0,68270.0,105560.0,5490.0,35420.0,6400.0,51910.0,28260.0,55550.0,12330.0,3670.0,35720.0,66570.0,32830.0,810.0,86790.0,138040.0,11200.0,329180.0,259960.0,34020.0,3550.0,15760.0,18260.0,9150.0,34730.0,33780.0,9540.0,47050.0,17670.0,24110,96770.0,10130.0,316140.0,323410.0,90430.0,30200.0,86280.0,352820.0,10950.0,450080.0,326030.0,22100.0,11170.0,377300.0
2025-01-02,5930.0,660.0,373220.0,207940.0,5380.0,270.0,68270.0,105560.0,35420.0,329180.0,55550.0,12330.0,5490.0,28260.0,138040.0,10130.0,32830.0,51910.0,810.0,96770.0,12450.0,35720.0,6400.0,9540.0,86790.0,11200.0,259960.0,66570.0,33780.0,15760.0,17670.0,24110.0,34020.0,3550.0,316140.0,30200,3670.0,402340.0,86280.0,323410.0,18260.0,34730.0,9150.0,42700.0,326030.0,352820.0,47050.0,10950.0,90430.0,450080.0
2025-07-01,5930.0,660.0,207940.0,373220.0,5380.0,105560.0,35420.0,34020.0,12450.0,270.0,329180.0,68270.0,55550.0,28260.0,35720.0,12330.0,32830.0,9540.0,86790.0,402340.0,15760.0,42660.0,11200.0,5490.0,138040.0,810.0,96770.0,259960.0,316140.0,34730.0,51910.0,10130.0,33780.0,24110.0,30200.0,6400,323410.0,3550.0,352820.0,18260.0,17670.0,66570.0,86280.0,9150.0,3670.0,42700.0,47050.0,90430.0,326030.0,10950.0
2026-01-02,005930,000660,373220,207940,005380,329180,402340,012450,034020,000270,105560,068270,028260,035420,055550,042660,012330,032830,015760,267260,009540,035720,086790,010130,005490,051910,000810,006400,010140,064350,316140,009150,138040,011200,034730,0126Z0,096770,033780,024110,003670,066570,352820,042700,018260,086280,030200,003550,259960,017670,323410
